Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,488.594,67,470,100,43,1141,221,0,2025,2356,2478,2680
2,693.399,73,433,989,50,1147,185,1,2876,3233,3330,3523
3,851.525,74,545,1168,59,1385,287,0,3528,3986,4069,4246
4,1040.57,74,555,1403,73,1440,292,0,3874,4254,4379,4595
5,1267.6,70,557,1280,69,1677,286,0,3951,4329,4453,4668
6,1404.83,68,583,1482,61,1752,320,0,4232,4716,4865,5149
7,1553.19,68,631,1538,73,1897,293,0,4497,4991,5122,5389
8,1621.76,66,624,1770,73,2058,336,0,4927,5420,5580,5886
9,1639.46,65,653,1894,76,2481,315,1,5460,5999,6134,6407
10,1718.53,66,705,2071,85,2559,326,1,5785,6335,6502,6802
12,1770.29,62,680,2744,91,2825,370,0,6788,7255,7385,7651
11,1792.13,64,665,2371,81,2610,341,0,6121,6650,6803,7077
13,1836.1,62,674,2891,93,3005,350,0,7084,7638,7777,7970
14,1912.18,62,724,2987,88,3072,383,0,7314,7879,7976,8137
15,1928.97,62,753,3192,86,3274,403,0,7833,8167,8264,8508
29,2001,59,667,9885,92,3366,419,0,15758,16188,16356,16650
22,2004.95,61,706,6336,91,3367,406,1,11834,12237,12393,12667
31,2007.17,62,729,10779,92,3364,413,1,15895,16341,16485,16743
30,2007.86,61,697,10321,86,3362,408,1,15804,16258,16416,16674
24,2008.12,63,736,7283,82,3360,422,0,11967,12320,12438,12674
19,2008.57,61,746,4777,99,3372,397,1,8243,12055,12203,12505
16,2008.84,63,747,3293,82,3364,411,0,7970,8285,8392,8610
21,2009.5,59,719,5803,87,3366,410,0,11682,12165,12311,12625
25,2012.39,62,708,7781,90,3363,412,1,12018,15517,15915,16267
18,2012.96,62,746,4269,82,3366,412,1,8087,11933,12097,12389
17,2014.06,61,726,3789,86,3370,402,1,8011,11516,11888,12248
23,2014.35,60,691,6808,85,3366,402,0,11887,12264,12411,12678
20,2014.84,60,723,5273,98,3369,396,1,9243,12094,12241,12558
26,2015.16,62,758,8226,80,3362,409,1,12076,15935,16097,16428
28,2015.57,59,699,9271,94,3371,392,0,13076,16103,16260,16626
32,2019.18,62,727,11211,87,3367,388,0,15904,16321,16451,16687
27,2027.68,60,735,8672,81,3368,393,0,12156,16000,16130,16481
